@relation train
@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute type {1,2,3,4,5,6,7}
@data
152,137.56,129.45,3
141.47,115.78,105.94,3
158.83,138.79,129.09,3
135.53,114.32,105.94,3
164.62,145.76,138.79,3
170.39,153.2,146.32,3
176.28,160.67,150.22,3
176.46,158.92,147.66,3
152.31,142.13,137.92,3
164.48,149.54,139.41,3
152.31,142.13,137.92,3
138.77,114.5,104.68,3
152.31,142.13,137.92,3
133.24,112.01,107.03,3
152.31,142.13,137.92,3
141.82,122.46,113.81,3
144.93,129.03,122.46,3
161.38,143.18,137.32,3
152.31,142.13,137.92,3
152.1,132.8,122.89,3
140.17,122.17,110.59,3
152.31,142.13,137.92,3
172.51,154.4,145.3,3
189.53,176.69,169.53,3
152.31,142.13,137.92,3
186.95,173.95,167.89,3
152.31,142.13,137.92,3
160.57,138.5,132.13,3
163.34,138.61,126.07,3
159.52,140.83,133.53,3
128.92,117.34,111.46,3
138.81,127.19,121.85,3
176.45,157.88,151.7,3
152.31,142.13,137.92,3
152.31,142.13,137.92,3
152.95,134.33,126,3
120.83,103.49,96.486,3
138.97,118.28,110.74,3
152.31,142.13,137.92,4
85.514,92.919,108.08,4
152.31,142.13,137.92,4
97.039,100.65,104.27,4
93.954,101.46,106.85,4
183.62,200.23,216.08,5
152.31,142.13,137.92,5
166.53,186.94,207.72,5
182.84,206.31,221.99,5
164.88,174.41,185.26,5
172.38,190.24,206.9,5
192.03,206.45,219.22,5
150,140.47,143.65,5
180.2,195.8,207.32,5
182.28,199.22,212.42,5
148.28,141.13,144.63,5
20.818,20.27,20.378,5
155.83,168.57,181.08,5
170.48,187.94,203.11,5
167.91,185.17,196.63,5
152.31,142.13,137.92,5
137.44,139.04,145.28,5
152.31,142.13,137.92,5
152.31,142.13,137.92,5
177.12,193.42,208.28,5
120.86,129.93,136.64,5
113.19,122.25,129.34,5
69.34,66.973,61.707,5
112.84,106.4,102.29,5
163.52,181.65,193.78,5
126.5,123.61,118.23,5
93.172,92.929,92.629,5
152.31,142.13,137.92,5
152.31,142.13,137.92,5
160.98,176.58,184.71,5
233.24,231.25,229.18,1
241.55,240.68,240.48,1
255,255,255,1
254.96,254.96,254.96,1
254.98,255,254.99,1
255,255,254.98,1
255,254.97,254.98,1
254.97,254.99,254.99,1
254.97,254.97,254.97,1
254.97,254.97,254.97,1
254.99,254.99,254.96,1
254.99,254.95,254.97,1
254.88,254.89,254.84,1
254.88,254.88,254.88,1
196.86,190.33,185.06,1
254.96,254.96,254.96,1
255,254.63,254.94,1
254.99,255,254.99,1
238.01,239.88,241.98,1
254.99,255,255,1
255,255,254.99,1
255,255,255,1
254.98,254.99,254.98,1
254.95,254.95,254.89,1
169.31,158.83,151.33,2
85.515,94.63,79.247,2
128.01,124.23,113.24,2
83.568,80.449,68.826,2
169.31,158.83,151.33,2
169.31,158.83,151.33,2
72.621,71.02,56.819,2
108.38,105.19,89.974,2
96.834,96.228,85.824,2
110.18,122.21,100.47,2
83.847,89.431,79.753,2
155.75,162.13,142,2
123.56,132.8,112.05,2
97.39,106.76,95.261,2
143.51,152.93,115.42,2
90.202,96.915,84.988,2
169.31,158.83,151.33,2
112.05,121,105.94,2
173.43,170.04,160.7,2
169.31,158.83,151.33,2
163.32,163.79,146.6,2
105.48,113.37,92.823,2
169.31,158.83,151.33,2
187.27,166.89,156.44,3
183.71,163.39,155.74,3
187.9,167.6,159.73,3
185.16,166.81,159.45,3
177.01,162.83,154.42,3
186.03,163.51,154.73,3
183.42,165.63,156.68,3
179.47,154.81,143.15,3
169.31,158.83,151.33,3
176.51,148.72,136.54,3
163.9,146.35,132.01,3
162.73,146.51,132.19,3
158.45,139.51,126.3,3
176.13,149.7,135.98,3
175.91,150.17,137.92,3
171.73,152.86,142.07,3
180.78,161.91,150.52,3
169.31,158.83,151.33,3
169.31,158.83,151.33,3
188.73,162.07,149.93,3
159.77,138.31,125.51,3
173.45,149.59,136.24,3
169.31,158.83,151.33,3
187.86,160.96,151.32,3
162.77,144.77,129.21,3
169.31,158.83,151.33,3
160.04,145.13,138.97,3
177.6,153.01,141.73,3
181.91,164.32,156.12,3
161.44,149.05,145.4,3
169.31,158.83,151.33,3
189.03,161.11,149.84,3
185.42,159.64,147.59,3
176.18,150.77,135.35,3
171.36,147.96,135.76,3
162.39,143.97,132.76,3
159.13,145.06,137.75,3
174.32,148.24,133.02,3
180.83,151.42,140.1,3
183.96,160.03,145.65,3
181.71,161.83,149.68,3
177.37,155.51,142.43,3
169.31,158.83,151.33,3
172.62,157.44,147.79,3
169.31,158.83,151.33,3
164.17,150.06,137.7,3
161.82,146.47,140.79,3
84.619,78.035,79.362,3
148.19,127.91,118.51,3
177.31,151.91,146.47,3
169.31,158.83,151.33,3
169.31,158.83,151.33,3
235.1,239.61,244.62,4
215.76,226.59,235.07,4
235.4,241.83,249.68,4
211.96,222.4,228.71,4
178.88,198.76,220.16,5
53.552,49.889,51.938,5
205.75,224.75,240.2,5
54.772,55.369,62.725,5
169.31,158.83,151.33,5
60.587,61.276,67.471,5
169.31,158.83,151.33,5
141.8,153.56,158.87,5
169.31,158.83,151.33,5
105.36,103.15,97.117,5
169.31,158.83,151.33,5
254.61,255,255,1
254.43,254.64,254.06,1
254.3,255,255,1
254.12,254.77,254.46,1
253.96,254.44,254.4,1
253.81,254.47,254.78,1
253.51,254.21,254.58,1
253.22,254.05,254.85,1
253.22,254.05,254.85,1
253.13,254.01,254.89,1
253.09,254.09,254.83,1
96.177,91.126,84.038,1
238.47,241.36,243.95,1
253.81,254.47,254.78,1
96.177,91.126,84.038,2
62.674,60.541,49.534,2
48.469,47.51,40.05,2
59.964,55.617,44.021,2
72.835,69.38,61.235,2
60.257,63.832,50.578,2
56.344,59.092,46.113,2
67.824,72.124,51.026,2
42.004,42.089,29.967,2
85.135,83.794,70.802,2
71.236,74.381,58.653,2
65.655,72.769,52.657,2
83.363,79.828,64.519,2
96.177,91.126,84.038,2
96.177,91.126,84.038,2
59.981,61.038,48.967,2
70.409,71.962,56.188,2
96.177,91.126,84.038,2
97.58,102.5,97.874,2
91.758,91.469,87.173,2
96.177,91.126,84.038,2
85.696,92.215,67.976,2
81.628,81.48,71.848,2
85.368,88.286,78.469,2
47.643,49.212,38.639,2
52.266,53.434,42.806,2
54.311,54.684,41.911,2
51.014,51.248,41.95,2
51.949,41.583,31.954,2
96.177,91.126,84.038,2
57.835,59.541,50.178,2
72.28,76.161,67.187,2
200.38,188.74,181.26,3
160.89,142.4,136.49,3
204.8,180.8,169.91,3
198.23,185.24,177.39,3
173.54,147.69,139.08,3
155,127.72,116.88,3
158.17,122.24,114.17,3
149.52,118.06,108.96,3
141.25,107.9,98.808,3
96.177,91.126,84.038,3
148.93,116.46,105.72,3
125.21,99.786,89.262,3
154.77,124.8,115.52,3
153.49,122.44,112.41,3
96.177,91.126,84.038,3
112.96,100.33,92.841,3
155.65,128.55,121.38,3
167.83,138.47,130.98,3
159.32,127.63,116.84,3
96.177,91.126,84.038,3
185.28,159.05,148.2,3
96.177,91.126,84.038,3
168.62,142.58,135.72,3
173.45,148.74,142.7,3
191.86,167.96,162.21,3
96.177,91.126,84.038,3
96.177,91.126,84.038,3
124.99,103.33,91.864,3
96.177,91.126,84.038,3
96.177,91.126,84.038,3
96.177,91.126,84.038,3
100.27,88.383,81.079,3
96.544,76.97,69.352,3
87.353,61.688,52.314,3
92.813,70.497,62.257,3
96.177,91.126,84.038,3
96.177,91.126,84.038,3
91.236,81.563,73.589,3
105.05,79.81,68.429,3
111.34,83.867,73.917,3
100.32,72.966,64.383,3
156.77,164.75,179.35,4
96.177,91.126,84.038,4
163.25,169.09,182.89,4
161.47,165.98,177.87,4
167,171.56,183.75,4
226.66,231.87,236.33,4
96.177,91.126,84.038,4
197.7,219.98,240.15,5
189.03,217.3,238.48,5
190.46,210.92,230.22,5
96.177,91.126,84.038,5
176.27,205.88,230.47,5
201.71,215.53,229.15,5
186.6,220.49,244.94,5
191.53,221.86,245.12,5
96.177,91.126,84.038,5
172.4,198.71,225.26,5
190.42,225.92,246.99,5
212.81,220.91,230.3,5
209.61,217.95,227.03,5
164.4,169.58,172.06,5
223.37,225.48,227.42,5
205.21,224.79,235.61,5
71.566,73.746,67.49,5
96.177,91.126,84.038,5
154.14,175.93,192.68,5
87.895,92.476,102.81,5
96.177,91.126,84.038,5
65.317,66.267,73.404,5
70.951,71.525,75.383,5
96.177,91.126,84.038,5
24.239,24.11,22.895,5
15.151,15.149,13.012,5
63.213,59.32,58.323,5
68.981,68.533,68.903,5
45.09,45.128,43.826,5
210.74,211.93,213,1
254.89,254.97,254.93,1
254.98,254.98,254.89,1
254.98,254.98,254.89,1
254.95,254.98,254.87,1
254.98,254.99,254.97,1
254.87,254.99,254.96,1
254.99,255,255,1
104.63,100.29,95.236,1
244.5,244.79,244.81,1
104.63,100.29,95.236,1
254.95,254.95,254.88,1
254.95,254.97,253.92,1
32.27,34.584,29.958,2
37.945,41.683,36,2
43.114,48.93,43.411,2
104.63,100.29,95.236,2
104.63,100.29,95.236,2
50.276,56.936,45.872,2
104.63,100.29,95.236,2
73.584,75.329,68.777,2
42.057,49.135,38.81,2
44.814,52.612,44.119,2
55.553,61.635,54.076,2
37.132,41.19,35.247,2
37.313,43.011,36.562,2
38.562,45.59,37.45,2
118.04,127.48,124.38,2
104.63,100.29,95.236,2
73.888,74.923,68.415,2
58.353,66.295,48.34,2
50.531,56.077,48.172,2
104.63,100.29,95.236,2
44.044,49.059,41.917,2
42.221,44.941,39.133,2
44.107,48.345,42.546,2
51.144,56.105,43.227,2
77.779,80.079,71.025,2
58.308,70.14,49.342,2
104.63,100.29,95.236,2
43.9,52.34,36.936,2
173.06,148.14,136.05,3
173.14,150.95,139.04,3
104.63,100.29,95.236,3
158.94,139.69,127.84,3
157.26,141.05,129.37,3
104.63,100.29,95.236,3
128.81,111.71,102.77,3
145,126.77,117,3
104.63,100.29,95.236,3
156.71,130.53,119.73,3
164.47,139.93,129,3
104.63,100.29,95.236,3
168.94,143.98,131.84,3
176.87,148.24,134.13,3
164.06,142.38,132.29,3
119.94,102.6,97.083,3
160.49,135.64,123.82,3
148.24,126.53,115.28,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
101.43,92.415,90.904,3
104.63,100.29,95.236,3
153.04,134.06,121.56,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
147.21,124.86,113.99,3
138.22,117.28,106.6,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
135.58,114.81,103.74,3
135.36,116.18,105.05,3
124.89,105.75,96.74,3
128,109.94,100.47,3
104.63,100.29,95.236,3
125.36,105.97,94.964,3
117.59,98.901,86.859,3
119.24,101.05,91.251,3
109.04,97.357,89.604,3
126.51,103.92,92.328,3
138.54,136.86,138.99,3
104.63,100.29,95.236,3
98.946,78.596,70.463,3
104.63,100.29,95.236,3
96.596,78.17,69.766,3
106.58,85.777,77.84,3
111.39,91.289,83.618,3
110.98,86.954,76.024,3
119.56,97.993,87.834,3
115.73,92.64,83.067,3
141.69,122.15,113.38,3
104.63,100.29,95.236,3
162.06,135.8,125.59,3
168.22,140.39,131.76,3
152.47,131.01,122.13,3
145.36,126.35,119.35,3
107.09,96.235,95.156,3
115.21,99.373,96.45,3
137.75,110.96,102.26,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
107.56,91.764,81.914,3
104.63,100.29,95.236,3
93.825,73.498,62.86,3
104.63,100.29,95.236,3
91.279,73.678,66.134,3
121.71,102.26,93.156,3
135.79,118.96,109.41,3
124.25,101.67,88.333,3
104.63,100.29,95.236,3
104.63,100.29,95.236,3
143.04,125.81,118.21,3
147.83,130.43,119.36,3
104.63,100.29,95.236,3
167.01,151.89,145.71,3
171.71,154.02,146.38,3
156.11,129.73,117.69,3
153.37,134.59,125.46,3
104.63,100.29,95.236,3
137.35,118.94,110.84,3
79.067,81.949,87.632,4
145.24,148.26,152.71,4
107.93,93.965,92.15,4
141.63,146.85,150.77,4
104.63,100.29,95.236,4
128.76,137.08,149.04,4
136.93,144.48,155.32,4
104.63,100.29,95.236,4
100.33,107.05,116.94,4
142.74,152.11,164.36,4
134.33,141.71,154.62,4
104.63,100.29,95.236,4
104.63,100.29,95.236,4
122.72,127.08,136.16,4
114.56,111.67,111.21,4
95.446,97.073,105.64,4
158.76,163.24,166.83,4
96.826,100.29,105.83,4
125.5,133.32,141.79,4
186.34,191.9,198.45,5
157.93,169.14,172.64,5
123.96,124.38,124.8,5
104.63,100.29,95.236,5
104.63,100.29,95.236,5
165.21,175.86,178.53,5
154.93,164.82,170.74,5
104.63,100.29,95.236,5
104.63,100.29,95.236,5
167.15,186.56,207.44,5
175.24,201.28,216.14,5
167.27,188.04,206.72,5
188.58,205.06,217.68,5
182.8,198.78,211.88,5
104.63,100.29,95.236,5
77.762,72.488,70.324,5
104.63,100.29,95.236,5
83.731,83.229,82.201,5
65.022,70.416,68.415,5
28.704,24.167,22.456,5
56.989,43.109,39.941,5
97.841,96.053,98.709,5
180.2,196.94,213.21,5
158.75,149.7,153.58,5
110.02,101.53,106.8,5
104.63,100.29,95.236,5
176.72,195.64,214.62,5
73.366,71.599,66.962,5
75.301,62.391,59.4,5
32.351,30.126,28.519,5
37.556,28.994,24.603,5
38.747,30.649,26.397,5
21.154,21.807,23.757,5
80.709,81.131,85.209,5
96.506,102.59,108.54,5
46.225,51.637,57.719,6
41.821,47.692,55.577,6
62.999,65.344,73.291,6
81.611,83.437,88.454,6
254.7,254.66,254.46,1
243.31,243.81,244.22,1
254.97,254.96,254.73,1
254.99,254.99,254.97,1
254.99,254.99,254.99,1
255,255,254.99,1
254.98,254.98,254.98,1
254.98,254.98,254.98,1
254.98,254.98,254.98,1
255,255,255,1
163.27,152.84,143.47,1
254.98,254.99,254.96,1
192.69,186.19,179.69,1
163.27,152.84,143.47,1
163.27,152.84,143.47,1
163.27,152.84,143.47,1
254.94,254.97,254.87,1
255,254.97,255,1
254.76,254.76,254.76,1
254.74,254.97,254.92,1
254.85,254.88,254.8,1
222.01,219.51,215.9,1
254.99,254.99,254.99,1
247.34,248.37,249.29,1
255,255,255,1
255,255,255,1
255,255,254.99,1
163.27,152.84,143.47,2
108.6,127.03,96.119,2
163.27,152.84,143.47,2
119.85,123.45,112.14,2
163.27,152.84,143.47,2
180.71,184.13,168.08,2
163.27,152.84,143.47,2
133.97,136.72,116.94,2
91.743,102.93,85.398,2
163.27,152.84,143.47,2
83.95,85.867,74.311,2
83.558,89.864,74.459,2
121.13,114.76,105.53,2
123.15,122.51,109.79,2
126.38,124.92,111.05,2
98.049,59.075,48.78,2
163.27,152.84,143.47,2
163.27,152.84,143.47,2
80.92,83.24,71.842,2
163.27,152.84,143.47,2
95.793,97.475,84.61,2
99.936,102.5,88.15,2
163.27,152.84,143.47,2
163.27,152.84,143.47,2
120.61,130.76,89.223,2
101.84,117.39,88.137,2
163.27,152.84,143.47,2
163.27,152.84,143.47,2
118.03,111.29,86.357,2
121.53,123.77,103.12,2
136.97,140.87,117.86,2
138.06,154.7,101.82,2
127.53,142.75,99.475,2
163.27,152.84,143.47,2
163.27,152.84,143.47,2
163.27,152.84,143.47,2
163.27,152.84,143.47,3
188.03,169.64,162.53,3
190.72,174.09,166.37,3
190.36,170.42,163.1,3
189.47,172.56,162.58,3
183.48,163.15,151.69,3
184.24,164.66,152.32,3
187.16,168.87,159.84,3
163.27,152.84,143.47,3
185.9,168.77,155.74,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
168.76,154.68,143.84,3
175.19,149.26,132.37,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
175.07,149.52,133.14,3
177.22,152.83,139.29,3
185.4,161.16,149.02,3
192.52,168.66,155.47,3
169.62,155.67,145.28,3
189.2,167.15,153.78,3
195.59,173.08,162.73,3
194.48,173.33,163.26,3
185.92,168.04,157.88,3
174.58,158.86,147.61,3
164.64,151.28,140.34,3
173.2,153.28,138.63,3
171.43,152.98,138.66,3
169.93,150.03,135,3
172.99,152.16,140.24,3
163.27,152.84,143.47,3
185.75,161.46,148,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
173.55,148.6,136.36,3
171.88,149.88,135.47,3
178.96,157.26,141.39,3
175.18,146.86,133.72,3
176.44,145.35,130.13,3
172.15,146.82,130.94,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
183.17,155.66,141.82,3
163.27,152.84,143.47,3
117.25,106.07,105.87,3
163.27,152.84,143.47,3
126.84,118.58,119.62,3
176.54,155.16,145.75,3
175.25,153.03,140.2,3
167.56,152.94,142.32,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
170.24,144.95,133.19,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
153.53,135.68,126.64,3
163.27,152.84,143.47,3
166.8,146.36,135.38,3
167.66,141.79,128.36,3
163.27,152.84,143.47,3
183.08,156.26,143.7,3
180.41,156.85,144.56,3
152.76,136.95,126.6,3
163.27,152.84,143.47,3
171.75,152.52,137.84,3
170.16,149.18,135.01,3
163.27,152.84,143.47,3
192.55,168.08,161.27,3
191.83,164.29,158.57,3
186.91,159.32,151.91,3
191.23,165.29,160.62,3
192,172.88,168.94,3
180.85,165.73,162.41,3
184.13,163.82,160.61,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
189.12,175.55,173.29,3
163.27,152.84,143.47,3
163.27,152.84,143.47,3
155,132.17,129.14,3
173.11,145.62,141.59,3
163.27,152.84,143.47,3
146.37,126.02,120.78,3
158.51,133.6,128.33,3
163.27,152.84,143.47,3
195.8,210.38,219.51,4
227.46,233.28,244,4
225.88,233.25,244.58,4
227.25,236.24,245.27,4
163.27,152.84,143.47,4
194.05,203.15,214.7,4
189.75,198.91,210.04,4
155.65,164.5,176.6,4
163.27,152.84,143.47,4
192.06,201.76,212.33,4
243.56,244.91,246.37,4
186.7,205.9,223.92,5
163.27,152.84,143.47,5
119.54,113.64,107.52,5
167.73,185.41,200.45,5
67.527,70.284,76.213,5
74.286,66.115,62.008,5
237.36,247.98,253.64,5
149.99,155.36,162.72,5
213.27,229.13,239.91,5
132.66,141.32,152.86,5
185.58,186.6,189.72,1
140.88,133.99,128.74,1
249.18,250.08,250.66,1
254.92,254.86,254.94,1
250.7,251.26,251.74,1
240.06,242.57,244.12,1
254.96,254.96,254.98,1
255,254.88,254.72,1
254.34,254.49,254.55,1
254.99,255,255,1
254.97,254.98,254.92,1
214.62,213.41,210.74,1
254.86,254.98,254.97,1
214.94,213.47,211.48,1
254.92,254.94,254.5,1
255,255,254.95,1
254.97,254.97,254.97,1
255,255,255,1
254.99,255,255,1
215.36,213.9,211.83,1
254.34,254.49,254.55,1
254.99,255,255,1
120.2,128.93,110.28,2
104.71,116.52,90.052,2
170.89,186.17,188.8,2
144.81,145.02,142.52,2
133.16,134.58,130.6,2
98.937,107.2,99.982,2
79.919,89.51,85.022,2
91.671,100.11,90.916,2
87.397,92.988,86.196,2
81.454,85.45,76.95,2
140.88,133.99,128.74,2
97.138,96.59,88.75,2
124.74,124.11,117.79,2
101.91,108.49,92.039,2
116.13,122.67,111.22,2
119.5,130.79,127.22,2
107.84,118.53,110.17,2
189.03,170.22,157.12,3
182.97,166.9,154.08,3
140.88,133.99,128.74,3
177.12,156.81,142.06,3
174.19,152.02,135.86,3
163.01,137.92,121.51,3
155.54,137.34,124.17,3
147.75,127.17,115.03,3
144.77,126.88,115.25,3
121.49,103.22,94.232,3
147.83,130.48,116.26,3
140.88,133.99,128.74,3
143.64,122.64,109.84,3
132.55,107.51,97.53,3
143.07,116.72,103.54,3
151.2,129.87,112.08,3
155.72,129.44,112.83,3
167.85,147.45,132.65,3
172.87,151.86,139.71,3
140.88,133.99,128.74,3
140.88,133.99,128.74,3
183.15,161.03,148.04,3
171.28,148.17,133.04,3
153.72,135.33,122.53,3
146.46,128.39,115.83,3
140.88,133.99,128.74,3
127.59,106.23,94.15,3
136.09,119.33,108.72,3
152.39,126.63,112,3
140.88,133.99,128.74,3
160.82,136.68,124.48,3
153.99,133.85,119.81,3
140.88,133.99,128.74,3
162.5,136.3,117.68,3
140.88,133.99,128.74,3
150.71,132.34,119,3
150.65,130.37,117.02,3
140.88,133.99,128.74,3
140.88,133.99,128.74,3
125.22,104.52,95.722,3
140.88,133.99,128.74,3
140.88,133.99,128.74,3
139.52,115.1,102.56,3
159.6,138.08,125.72,3
140.88,133.99,128.74,3
146.92,123.78,109.88,3
124.67,95.667,83.833,3
140.88,133.99,128.74,3
168.42,150.51,142.84,3
181.58,165.4,158.74,3
140.88,133.99,128.74,3
140.88,133.99,128.74,3
165.53,145.99,131.5,3
140.88,133.99,128.74,3
183.69,165.14,151.09,3
140.88,133.99,128.74,3
163.9,142.4,129.3,3
140.88,133.99,128.74,3
141.38,120.74,111.62,3
141.35,122.65,114.41,3
140.12,121.24,113.44,3
140.88,133.99,128.74,3
136.16,115.83,107.84,3
145.2,129.42,122.63,3
140.88,133.99,128.74,3
163.93,137.1,123.52,3
170.61,148.06,133.87,3
157.42,135.04,119.62,3
161.22,136.9,120.96,3
168.01,149.27,135.89,3
153.76,133.8,121.91,3
140.88,133.99,128.74,3
104.24,82.597,73.39,3
140.88,133.99,128.74,3
115.47,94.383,87.6,3
140.88,133.99,128.74,3
140.88,133.99,128.74,3
101.01,87.674,80.21,3
140.88,133.99,128.74,3
164.98,147.83,141.69,3
140.88,133.99,128.74,4
165.28,171.41,184.04,4
140.88,133.99,128.74,4
140.88,133.99,128.74,4
140.88,133.99,128.74,4
159.26,166.94,179.52,4
155.66,162.84,181.05,4
154.67,157.95,164.27,4
140.88,133.99,128.74,4
167.93,173.77,185.65,4
140.88,133.99,128.74,4
152.15,159.49,172.68,4
140.88,133.99,128.74,4
140.88,133.99,128.74,4
158.96,162.7,164.37,5
140.88,133.99,128.74,5
186.69,201.22,213.19,5
140.88,133.99,128.74,5
157.08,179.67,201.64,5
148.42,149.87,154.05,5
164.4,183.62,199.49,5
152,174.64,191.91,5
131.61,149.04,167.05,5
104.03,106.89,121.25,5
140.88,133.99,128.74,5
105.52,104.01,106.07,5
107.73,103.08,92.649,5
116.5,115.28,110.19,5
29.204,24.569,28.931,5
41.89,39.889,39.909,5
93.931,89.088,84.727,5
64.627,58.451,58.356,5
140.88,133.99,128.74,5
166.67,161.45,156.66,5
68.431,68.223,67.375,5
58.111,57.552,61.301,5
122.52,113.6,109.24,5
79.608,79.514,74.151,5
182.59,188.89,189.82,5
157.05,154.07,152.23,5
101.72,110.43,112.47,5
98.993,101.84,100.14,5
140.88,133.99,128.74,5
42.697,46.338,52.937,5
140.88,133.99,128.74,5
30.056,33.367,36.095,5
140.88,133.99,128.74,5
140.88,133.99,128.74,5
21.143,25.53,26.535,5
254.61,254.96,254.83,1
254.97,254.95,254.97,1
255,254.99,255,1
248.94,249.26,249.25,1
145.58,131.24,124.49,1
255,255,254.94,1
254.79,254.82,254.8,1
254.98,255,255,1
254.98,255,255,1
254.98,254.98,254.98,1
254.86,254.79,254.79,1
254.99,254.99,254.99,1
254.99,254.99,254.99,1
254.85,254.9,254.62,1
145.58,131.24,124.49,3
154.78,136.7,124.67,3
145.58,131.24,124.49,3
145.58,131.24,124.49,3
177.37,160.72,147.57,3
149.91,130.98,118.83,3
175.76,155.05,139.8,3
176.39,158.27,145.44,3
145.58,131.24,124.49,3
145.58,131.24,124.49,3
166.61,141.67,127.2,3
154.22,135.33,126.39,3
145.58,131.24,124.49,3
163.57,137.28,119.3,3
165.99,137.09,119.97,3
145.58,131.24,124.49,3
165.29,140.66,126.23,3
155.99,123.91,106.55,3
170.85,142.24,125.94,3
163.72,140.04,125.83,3
161.99,137.04,125.11,3
145.58,131.24,124.49,3
152.26,123.06,110.87,3
145.58,131.24,124.49,3
138.68,118.18,108.96,3
155.34,136.72,126.67,3
145.58,131.24,124.49,3
144.06,122.06,110.08,3
138.4,114.96,105.19,3
135.46,110.52,105.36,3
140.28,113.28,101.72,3
155.54,138.3,130.4,3
145.58,131.24,124.49,3
145.58,131.24,124.49,3
167.32,142.41,129.95,3
162.95,132.57,116.02,3
173.94,145.24,130.69,3
145.58,131.24,124.49,3
167.17,144.62,137.62,3
161.12,139.71,130.85,3
133.66,112.04,100.83,3
145.58,131.24,124.49,3
131.11,103.57,93.435,3
118.67,93.765,85.793,3
135.95,115.26,107.25,3
141.49,115.72,104.35,3
137.53,119.67,109.48,3
120,94.697,84.515,3
136.22,109.63,95.178,3
134.55,111.23,99.955,3
141.21,121.93,112.02,3
142.3,120.19,109.01,3
158.79,136.79,125.24,3
152.51,124.55,111.62,3
145.58,131.24,124.49,3
152.98,132.73,120.13,3
145.58,131.24,124.49,3
147.29,122.35,107.15,3
129.89,104.87,95.655,3
137.09,113.21,99.699,3
147.73,124.07,112.94,3
160.62,137.53,122.63,3
171.62,143.36,128.47,3
158.63,135.35,123.15,3
145.88,127.12,116.45,3
175.55,151.55,136.85,3
248.94,249.26,249.25,4
117.75,120.47,127.13,4
214.29,216.87,218.01,4
155.91,166.25,187.12,5
151.11,144.76,147.39,5
145.58,131.24,124.49,5
145.58,131.24,124.49,5
162.03,175.23,196.16,5
184.38,199.38,213.5,5
142.07,140.56,150.4,5
145.58,131.24,124.49,5
144.44,142.96,153.57,5
163.33,165.04,175.58,5
145.58,131.24,124.49,5
163.96,175.63,196.65,5
152.97,163.74,187.37,5
202.82,212.63,221.92,5
181.39,191.42,204.24,5
145.25,148.89,157.1,5
141.55,135.71,133.84,5
196.29,212.87,217.31,5
168.95,175.02,185.78,5
166.58,169.95,177.74,5
55.058,51.971,47.754,5
145.58,131.24,124.49,5
145.58,131.24,124.49,5
145.58,131.24,124.49,5
113.99,111.13,96.411,5
116.54,109.85,103.23,5
145.58,131.24,124.49,5
145.58,131.24,124.49,5
163.66,172.03,192.16,5
159.38,167.88,180.29,5
82.994,89.252,95.171,5
8.9556,12.956,13.956,6
145.58,131.24,124.49,6
254.06,254.03,253.15,1
253.46,254.2,254.37,1
244.7,241.82,235.63,1
253.2,254.07,254.79,1
253.31,254.05,254.66,1
254.29,254.61,254.54,1
254.86,255,255,1
254.99,254.99,254.99,1
254.86,254.88,254.81,1
254.95,254.98,254.93,1
254.49,254.94,254.92,1
209.66,206.81,204.7,1
210.14,206.47,203.59,1
255,255,254.96,1
254.95,254.98,254.86,1
254.95,254.98,254.86,1
187.71,154.54,133.1,3
122.44,111.03,106.61,3
140.93,123.19,114.45,3
122.44,111.03,106.61,3
122.44,111.03,106.61,3
119.96,97.147,91.34,3
138.67,106.79,91.114,3
143.99,119.72,106.14,3
162.2,126.89,109.74,3
160.63,135.64,120.3,3
194.74,159.76,133.99,3
188.92,153.71,131.55,3
122.44,111.03,106.61,3
188.62,154.64,134.22,3
147.97,130.96,120.75,3
171.91,148.96,135.38,3
189.57,159.24,137.65,3
188.85,156.19,135.97,3
157.98,131.75,118.2,3
122.44,111.03,106.61,3
125.33,107.98,102.01,3
140.44,110.46,97.105,3
122.44,111.03,106.61,3
161.32,130.62,116.83,3
122.44,111.03,106.61,3
253.36,250.87,243.67,5
207.14,215.8,225.07,5
122.44,111.03,106.61,5
193.34,205.33,213.64,5
218.79,226.16,229.33,5
198.31,207.72,216.75,5
201.67,211.96,221.16,5
118.31,124.32,135.07,5
85.432,77.476,75.362,5
19.429,19.38,20.329,5
38.479,30.453,26.175,5
33.904,25.691,22.089,5
65.686,58.686,53.915,5
25.821,22.006,18.837,5
39.273,35.364,37.667,5
40.892,39.532,42.039,5
61.078,58.815,55.342,5
58.007,53.479,50.37,5
90.479,79.546,77.844,5
20.217,19.24,16.813,5
255,254.98,255,1
