@RELATION train_noxyregion

@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute G1 REAL
@attribute G2 REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
223.47,192.47,153.09,-1.753,26.886,57,47,3
233.5,203.35,165.89,-39.316,20.461,46,10,3
233.8,206.84,176.36,13.148,60.331,25,8,3
241.05,210.57,173.38,0.59157,18.591,21,26,3
240.63,218.37,186.17,-1.498,94.667,52,19,3
242.71,217.29,182.35,24.792,15.526,31,25,3
235.56,205.08,168.41,-11.459,16.224,39,26,3
240.06,215,182.76,3.749,18.049,17,25,3
236.87,206.43,169,77.074,78.037,23,7,3
237.53,206.16,167.47,57.645,11.093,19,16,3
231.06,196.06,161.51,29.845,21.041,47,18,3
230.88,196.8,158.5,0.61645,19.969,60,33,3
240.97,214.69,178.04,11.043,10.944,96,13,3
244,219.89,181.64,12.335,4.396,89,10,3
235.05,204.1,168.56,50.756,14.685,63,18,3
235.21,208.31,173.55,48.867,23.02,58,24,3
237.41,207.28,170.48,84.974,20.314,29,29,3
232.05,205.65,172.3,21.576,17.047,37,18,3
213.06,178.43,137.24,-6.196,23.213,88,11,3
189.78,146.59,99.13,27.041,35.421,46,32,3
211.59,178.64,140.97,-24.356,23.262,66,20,3
215.89,182.46,144.76,44.795,17.927,37,19,3
219.25,187.26,153.07,62.481,20.426,61,21,3
202.65,176.83,140.52,62.199,10.231,48,23,3
188.05,164.66,147.62,10.329,11.21,61,16,3
200,174.73,145.9,82.727,14.798,59,21,3
210.56,178.6,139.82,-90.411,11.628,62,14,3
200.87,166.47,134.34,38.535,10.471,98,16,3
199.98,167.95,138.75,-87.935,14.876,56,18,3
198.47,162.05,136.05,-12.858,12.312,19,20,3
169.54,152.78,138.16,14.166,23.774,50,40,4
162.58,147.88,132.54,47.241,33.641,24,49,4
169.58,156.83,150.57,-30.466,14.494,81,17,4
160.54,143.88,128.83,-47.686,21.186,41,49,4
165.97,153.8,137.11,11.377,23.025,35,31,4
172.38,156.64,144.74,14.005,26.33,58,31,4
182.98,170.83,159.47,95.299,19.649,122,21,4
173.13,155.13,142.87,19.661,14.769,30,24,4
163.02,146.02,131.44,46.844,21.096,48,47,4
157.6,142.42,126.48,-4.266,26.62,67,21,4
163.05,145.63,129.42,-13.425,15.777,19,26,4
160.5,148.05,131.21,12.687,29.311,38,68,4
169.39,154.03,139.56,-11.86,22.749,64,26,4
162.89,146.66,134.24,-29.212,19.816,76,36,4
158.67,144.49,129.84,87.878,22.012,55,22,4
170.12,153.29,140.51,-38.002,35.889,41,53,4
165.39,147.52,133.97,17.888,26.603,31,17,4
168.42,152.47,141.47,-17.172,24.398,36,35,4
164.97,149.79,139.85,-22.305,23.247,39,28,4
165.56,151.62,141.15,-13.81,18.469,34,26,4
161.38,147.07,136.72,37.381,18.017,29,16,4
165.5,150.38,139.63,-35.545,25.343,32,21,4
160.57,143.57,137.93,-0.15018,15.243,14,16,4
153.8,135.05,122.65,-0.34381,13.949,40,17,4
145.76,130.83,117.52,-27.413,18.579,29,27,4
168.14,150.95,141.57,-22.263,23.944,21,45,4
173.43,156.12,142.24,40.159,14.663,49,21,4
154.71,138.74,130.38,12.507,18.476,72,24,4
151.11,135.14,124.77,-9.675,18.989,115,16,4
189.99,193.18,194.63,5.621,35.086,166,3,5
137.32,131.11,130.92,14.361,17.176,427,2,5
196.6,213.08,222.82,33.547,14.724,125,3,5
194.48,207.65,216.29,65.306,46.845,77,5,5
161.39,161.28,142.39,84.469,31.62,69,5,5
225.34,231.91,232.16,27.871,16.705,125,1,5
195.01,201.27,188.28,-32.289,36.584,95,2,5
219.84,222.46,217.92,82.399,10.803,270,5,5
176.54,179.52,180.99,25.425,24.796,160,18,5
76.338,67.873,64.15,24.264,15.165,393,8,5
95.772,89.18,83.358,45.996,22.695,461,5,5
126.96,123.39,117.05,47.862,36.354,236,30,5
201.97,221.75,232.26,13.774,10.905,97,3,5
119.15,114.79,103.6,77.984,25.774,242,53,5
108.93,105.43,94.709,-55.426,26.839,251,55,5
158.47,166.69,165.6,10.831,11.358,402,7,5
199.14,206.36,202.48,14.721,79.401,56,8,5
190.97,213.56,225.24,23.464,50.615,245,1,5
111.73,113.52,109.41,-54.506,22.012,371,37,5
95.991,100.3,97.346,44.291,21.442,428,51,5
132.09,148.57,154.18,12.066,18.982,279,11,5
150.74,160.05,162.23,55.533,12.004,486,8,5
92.286,87.683,81.413,-13.135,21.86,63,10,5
138.66,123.97,102.18,12.906,32.928,38,78,5
50.067,36.533,23.322,42.795,10.888,90,1,5
56.854,43.566,27.066,81.004,12.087,198,2,5
66.44,63.161,59.943,26.111,13.464,441,3,5
69.44,61.899,57.518,12.762,27.002,218,47,5
45.142,31.725,21.018,14.143,90.736,331,3,5
121.36,82.507,72.726,10.5,9.135,73,10,6
108.79,84.321,75.377,11.776,76.058,53,12,6
124.69,73.753,65.629,-49.531,14.183,89,38,6
106.82,68.844,58.489,15.515,12.654,45,30,6
88.063,65.008,53.587,20.408,47.533,126,4,6
90.48,68.16,60.52,12.605,56.216,25,6,6
89.359,67.051,55.641,14.389,57.312,39,9,6
85.417,62.689,50.879,23.878,55.392,132,4,6
26,16.821,17.857,13.247,46.942,28,2,6
55.739,61.775,59.408,0.78056,30.678,142,83,7
57.497,129.28,133.55,-34.415,31.693,157,10,7
254.99,254.99,254.99,87.069,0.019415,1167,0,1
254.97,254.97,254.97,82.308,0.12247,234,0,1
254.92,255,254.99,83.821,0.042524,386,0,1
242.3,243.71,241.58,50.378,80.032,255,0,1
254.99,254.99,254.99,87.653,0.03069,1227,0,1
250.61,250.39,249.91,76.386,31.442,2035,0,1
254.9,254.96,254.86,84.994,0.13411,512,0,1
255,255,255,88.213,0,10172,0,1
254.99,254.99,254.99,89.557,0.018155,6138,0,1
254.97,254.97,254.91,88.109,0.06296,10285,0,1
254.99,255,254.99,89.672,0.010761,5480,0,1
252.83,252.95,249.33,71.83,29.084,1007,0,1
254.73,254.79,253.57,77.519,0.41028,560,0,1
143.24,135.57,57.568,13.6,17.949,37,18,2
102.67,98.513,36.359,17.451,12.187,39,13,2
159.9,142.58,56.806,-0.067439,15.186,31,21,2
129.25,113.35,53.584,96.457,27.97,113,31,2
148.86,139.34,66.214,18.626,14.976,131,19,2
51.622,57.081,29.946,-11.603,32.092,37,39,2
56.978,67.911,38.6,10.595,30.31,45,27,2
103.46,108.52,64.24,68.329,26.314,50,55,2
68.167,70.934,36.157,-45.241,22.911,198,29,2
49.955,51.125,24.898,20.647,15.635,88,31,2
69.466,77.552,42.966,-11.935,23.549,58,23,2
141.14,142.9,97.707,6.074,15.978,191,14,2
71.816,68.737,38.579,16.349,10.915,38,12,2
203.31,175.53,161.89,34.381,12.454,106,40,3
191.28,160.07,144.54,37.534,11.251,122,18,3
174.19,147.95,131.59,72.157,18.499,111,21,3
173.11,140.42,120.75,11.945,15.651,57,16,3
174.83,139.6,116.69,0.91336,13.991,127,38,3
145.94,111.32,93.992,-7.98,16.2,133,32,3
184.15,140.15,110.72,15.477,12.483,40,17,3
148.48,120.6,102.76,56.436,17.116,25,16,3
180.62,148.64,126.72,-0.776,14.803,61,12,3
191.6,154.53,142.92,14.052,12.215,53,13,3
180.69,156.86,143.43,11.19,17.844,49,22,3
178.12,146.55,132.24,10.774,11.976,146,16,3
169.67,142.43,122.9,16.772,16.987,30,26,3
145.42,119.92,104.07,59.103,26.268,73,44,3
157.6,118.87,98.726,57.312,13.603,84,30,3
160.28,126.26,108.47,21.824,17.16,43,20,3
178.48,142.84,121.3,0.40498,14.809,88,21,3
169.88,144.22,131.53,-83.668,22.819,72,21,3
194.54,164.31,148.81,-41.309,12.05,97,10,3
191.93,158.61,146.73,18.516,14.573,111,15,3
252.49,245,228.48,0.83679,48.862,163,13,3
228.77,200.78,180.35,24.609,10.24,77,9,3
229.05,198.34,175.76,78.281,7.939,38,17,3
202.9,167.38,147.36,-52.311,77.541,42,12,3
182,149.94,132.63,-12.362,17.27,63,23,3
160.89,134.59,116.61,44.689,27.159,64,50,3
164.67,134.05,114.4,-32.027,29.008,42,74,3
152.89,122.52,104.23,-50.892,16.225,96,22,3
194.3,166.24,151.54,15.075,98.664,46,13,3
172.21,149.44,136.59,80.898,16.825,34,24,3
187.4,157.11,134.26,-44.014,11.101,35,11,3
163.1,141.21,124.78,86.645,22.336,105,25,3
168.87,132.02,110.31,18.212,16.763,165,22,3
147.11,114.35,99.532,61.581,16.151,62,24,3
156.51,122.77,105.65,38.763,19.375,185,40,3
154.98,119.21,103.19,64.393,26.482,52,17,3
191.56,162.19,140.38,53.146,19.134,32,24,3
181.82,149.45,129.69,62.503,15.467,84,24,3
186.83,158.15,144.35,-25.701,15.56,86,16,3
196.81,158.71,147.11,49.885,10.365,62,22,3
183.77,152.6,139.73,15.975,13.599,73,19,3
192.12,154.55,141.25,-54.238,12.893,91,22,3
194.24,161.88,150.54,15.499,13.449,68,27,3
152.07,134.77,125.87,-0.92247,16.54,282,29,3
185.74,154.64,140.71,86.913,13.347,72,13,3
177.61,144.46,135.59,-3.031,11.114,92,16,3
183.45,152.15,139.34,86.613,15.372,53,16,3
189.1,165.51,156.67,19.059,16.34,39,13,3
168.58,151,140.5,0.16682,25.375,24,48,3
188.96,157.7,144.39,-59.829,15.127,23,14,3
165.74,153.3,150.75,-11.165,24.903,273,10,3
168.65,136.3,121.84,26.307,15.212,222,24,3
166.9,144.47,134.3,4.058,24.057,30,39,3
160.59,134.27,118,32.817,21.696,79,34,3
126.92,104.98,92.147,14.357,23.036,116,18,3
165.55,133.28,112.32,48.785,17.26,47,13,3
174.81,140.35,128.59,70.537,16.842,128,27,3
160.47,130.09,117.33,-32.937,14.856,45,3,3
145.91,121.38,105.12,-17.871,20.617,105,32,3
128.27,130.13,126.93,-23.9,20.131,15,28,4
135.17,137.06,132.06,-33.666,20.243,18,21,4
125.32,127.85,119.99,-16.707,15.658,72,30,4
127,129.59,123.41,-23.244,18.669,44,30,4
128.58,129.71,124.55,-32.878,17.362,38,32,4
134.85,136.03,130.97,-26.604,15.849,33,22,4
162.26,160.79,144.11,-39.968,15.576,19,20,4
158.49,158.73,152.99,21.515,20.336,90,22,4
174.4,177.41,173.13,94.035,22.209,119,10,4
134.92,135.77,133.67,-20.849,16.8,39,32,4
159.19,157.31,133.54,10.121,16.129,83,11,4
152.51,153.78,130.86,14.768,15.536,49,10,4
144.61,145.61,140.32,12.773,11.919,31,18,4
141.9,144.1,137.5,50.342,15.778,40,11,4
144.29,144.67,139.21,94.693,10.68,42,18,4
151.06,152.87,143.32,96.621,13.404,136,15,4
141.72,141,130.19,13.317,13.016,32,17,4
164.71,168.09,164.42,22.085,27.09,66,14,4
164.84,163.88,158.54,-20.229,14.111,56,25,4
184.97,196.13,191.94,10.341,57.304,97,7,5
180.62,181.06,180.79,59.375,59.278,109,32,5
166.69,177.11,181.75,25.446,17.778,152,1,5
153.62,159.07,162.67,35.515,13.454,317,1,5
189.45,193,193.98,19.565,57.657,83,17,5
193.98,197.65,199.5,26.723,44.001,48,4,5
168.83,174.83,179.08,-57.366,30.802,12,4,5
145.87,138.56,135.21,96.117,23.748,224,10,5
152.8,140.42,138.12,29.863,21.29,158,3,5
174.67,170.31,172.14,36.124,13.426,308,6,5
188.49,178.92,182.71,23.483,43.258,59,5,5
90.507,82.901,71.592,20.082,26.46,71,61,5
87.466,77.393,69.528,63.755,15.052,163,4,5
71.845,65.093,52.264,13.735,23.248,129,16,5
80.95,49.604,49.031,81.722,18.763,260,6,5
79.722,50.639,20,54.716,89.467,36,12,5
109.65,83.943,56.562,31.988,14.177,194,2,5
79.852,72.408,67.776,0.61291,74.036,196,3,5
77.29,74.03,73.325,31.787,19.15,231,6,5
98.333,50.619,51.81,19.337,64.515,63,9,5
72.555,66.402,60.148,79.707,19.059,256,41,5
91.562,63.652,42.219,14.709,80.038,201,12,5
116.45,98.786,78.133,28.135,66.026,173,5,5
138.05,140.26,143.95,13.461,99.497,535,5,5
203.1,201.87,207.67,-45.369,55.735,108,7,5
84.537,75.7,64.934,17.945,89.279,287,8,6
88.237,82.944,78.827,11.092,12.218,498,1,6
88.237,82.944,78.827,11.092,12.218,498,3,6
220.67,221.44,222.26,36.21,12.363,380,0,1
248.53,252.51,254.99,82.259,0.09785,2103,0,1
251.38,253.09,254.95,81.505,0.1071,2636,0,1
251.93,253.54,254.98,82.187,0.10783,5014,1,1
252.7,253.86,254.99,84.691,0.05607,2543,0,1
251.81,252.64,253.75,77.238,0.76471,3041,0,1
252.88,253.9,254.99,85.289,0.050118,7103,0,1
251.76,253.34,254.85,71.239,0.3145,1178,0,1
252.88,253.9,254.99,85.289,0.050118,7103,0,1
252.46,253.46,255,86.606,0.048827,1962,0,1
252.47,253.61,254.9,82.257,0.099365,5913,1,1
252.96,253.96,255,85.29,0.068295,707,0,1
250.01,252.95,254.96,78.498,0.19982,5942,0,1
250.01,252.95,254.96,78.498,0.19982,5942,1,1
250.01,252.95,254.96,78.498,0.19982,5942,0,1
248.04,251.96,254.99,82.045,0.11242,948,0,1
249.93,252.58,254.98,78.801,0.1701,3725,0,1
247.28,250.83,254.84,70.553,0.30724,356,0,1
249.03,252.21,254.93,74.655,0.26252,4796,0,1
252.1,253.56,254.96,83.085,0.13025,3883,0,1
252.71,253.75,254.97,83.472,0.084799,2640,0,1
252.47,253.61,254.9,82.257,0.099365,5913,0,1
252.71,253.75,254.97,83.472,0.084799,2640,0,1
92.42,107.16,63.932,-47.802,32.537,88,32,2
94.95,113.63,65.317,-0.96888,26.551,60,34,2
105.66,126.32,82.799,-13.123,37.012,154,55,2
176.04,188.71,114.79,-10.225,11.376,24,17,2
167.67,178.16,106.05,0.65833,12.15,86,19,2
144.71,176.64,98.786,18.951,11.243,14,9,2
