@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
-24.356,23.262,562,220.77,66,20,3
44.795,17.927,563.7,294.54,37,19,3
62.481,20.426,493.44,298.18,61,21,3
62.199,10.231,570.54,372.04,48,23,3
10.329,11.21,276.15,96.689,61,16,3
82.727,14.798,337.88,84.034,59,21,3
-90.411,11.628,364.69,20.452,62,14,3
38.535,10.471,326.14,32.398,98,16,3
-87.935,14.876,312.32,56.375,56,18,3
-12.858,12.312,317.05,88.053,19,20,3
14.166,23.774,102.46,176.88,50,40,4
47.241,33.641,78,205.17,24,49,4
-30.466,14.494,69.864,227.17,81,17,4
-47.686,21.186,93.707,222.88,41,49,4
11.377,23.025,89.314,266.11,35,31,4
14.005,26.33,91.379,304.1,58,31,4
95.299,19.649,64.107,315.87,122,21,4
19.661,14.769,112.23,267.47,30,24,4
46.844,21.096,117.67,304.4,48,47,4
-4.266,26.62,87.776,343.67,67,21,4
-13.425,15.777,74.158,350.74,19,26,4
12.687,29.311,97.816,373.55,38,68,4
-11.86,22.749,77.188,379.95,64,26,4
-29.212,19.816,94.684,424.66,76,36,4
87.878,22.012,78.909,434.76,55,22,4
-38.002,35.889,122.15,443.37,41,53,4
17.888,26.603,123.55,487.06,31,17,4
-17.172,24.398,86.472,461.61,36,35,4
-22.305,23.247,82.795,501.87,39,28,4
-13.81,18.469,84.765,549.44,34,26,4
37.381,18.017,102.93,504.62,29,16,4
-35.545,25.343,102.34,589.38,32,21,4
-0.15018,15.243,82.714,594.5,14,16,4
-0.34381,13.949,129.8,637.73,40,17,4
-27.413,18.579,101.28,629.66,29,27,4
-22.263,23.944,100.67,672.81,21,45,4
40.159,14.663,79.041,675.33,49,21,4
12.507,18.476,105.85,725.18,72,24,4
-9.675,18.989,136.33,670.1,115,16,4
5.621,35.086,164.77,171.55,166,3,5
14.361,17.176,160.54,201.36,427,2,5
33.547,14.724,171.8,350.94,125,3,5
65.306,46.845,165.23,387.65,77,5,5
84.469,31.62,181.12,565.38,69,5,5
27.871,16.705,172.03,603.91,125,1,5
-32.289,36.584,174.46,740.33,95,2,5
82.399,10.803,177.61,771.84,270,5,5
25.425,24.796,300.14,397.7,160,18,5
24.264,15.165,317.65,361.24,393,8,5
45.996,22.695,267.46,360.4,461,5,5
47.862,36.354,257.22,396.27,236,30,5
13.774,10.905,281.72,187.98,97,3,5
77.984,25.774,437.1,343.87,242,53,5
-55.426,26.839,437.53,390.39,251,55,5
10.831,11.358,490.14,396.36,402,7,5
14.721,79.401,498.89,347.77,56,8,5
23.464,50.615,268.64,194.37,245,1,5
-54.506,22.012,439.92,579.39,371,37,5
44.291,21.442,443.35,615.49,428,51,5
12.066,18.982,492.38,619.99,279,11,5
55.533,12.004,491.69,579.13,486,8,5
-13.135,21.86,267.48,610.3,63,10,5
12.906,32.928,268.68,572.16,38,78,5
42.795,10.888,318.6,591.1,90,1,5
81.004,12.087,302.47,572.58,198,2,5
26.111,13.464,330.04,603.03,441,3,5
12.762,27.002,292.78,610.73,218,47,5
14.143,90.736,331.44,579.55,331,3,5
10.5,9.135,466.04,152.32,73,10,6
